epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.575,4.22799,9.52457,0.70805,9.35032,4.26323,0.05015,0.15385,0.02297,0.00413,0,0,0,0,2.70398,7.05824,0.52562,5.54851,2.41188,0.00012,0.00012,0.00012
2,37.8503,2.62629,8.99518,0.74291,2.62101,2.54587,0.38217,0.30769,0.33218,0.08586,0,0,0,0,1.6044,7.49904,0.52445,11.1653,1.90586,0.000257426,0.000257426,0.000257426
3,52.4159,2.07172,7.37072,0.76113,1.96312,2.03257,0.47349,0.53846,0.55498,0.19357,0,0,0,0,1.62396,7.03792,0.52161,8.84665,1.69399,0.00039208,0.00039208,0.00039208
4,66.6999,2.18339,6.73781,0.81102,2.0472,2.17233,0.41752,0.6,0.43977,0.12119,0,0,0,0,1.76192,6.93686,0.52233,4.72486,1.9439,0.000523962,0.000523962,0.000523962
5,79.7598,2.08623,6.106,0.78227,1.98072,1.96942,0.3248,0.56923,0.2812,0.07773,0,0,0,0,2.14808,6.26362,0.49607,24.8555,2.07398,0.000653072,0.000653072,0.000653072
6,92.3637,1.88542,5.4508,0.75802,1.74464,1.8035,0.8,0.73846,0.80708,0.39108,0.00251,0.01538,0.00019,2e-05,1.35423,5.59577,0.50291,7.57388,1.52069,0.00077941,0.00077941,0.00077941
7,105.015,2.0702,5.01276,0.71924,1.63689,1.99651,0.56117,0.81538,0.60003,0.19284,0.05187,0.03077,0.00733,0.00094,1.73398,5.5159,0.47759,3.73023,1.85402,0.000902976,0.000902976,0.000902976
8,117.623,1.77642,4.75274,0.7188,1.43225,1.68498,0.6443,0.46154,0.6648,0.30508,0.42398,0.2,0.19379,0.02828,1.46671,4.52931,0.45389,3.31628,1.6784,0.00102377,0.00102377,0.00102377
9,134.021,1.79031,4.69239,0.72714,1.6939,1.71342,0.77527,0.93846,0.87149,0.39997,0.74371,0.84825,0.78606,0.19923,1.28649,3.42188,0.44415,9.38579,1.48514,0.00114179,0.00114179,0.00114179
10,151.817,1.73417,4.10553,0.68283,1.40726,1.67031,0.68452,0.84615,0.77348,0.31618,0.58235,0.69231,0.5884,0.14234,1.39633,3.53138,0.46065,13.0881,1.5366,0.00125704,0.00125704,0.00125704
11,165.021,1.73994,3.76211,0.70608,1.35366,1.63823,0.60869,0.95727,0.77498,0.31693,0.46029,0.72308,0.38891,0.08333,1.25833,3.7193,0.43554,7.78474,1.54105,0.00136952,0.00136952,0.00136952
12,178.485,1.66425,3.80224,0.66505,1.3206,1.63567,0.52809,0.89231,0.62113,0.23451,0.66941,0.26154,0.33921,0.08051,1.43705,3.42935,0.43063,4.80912,1.83986,0.00147923,0.00147923,0.00147923
13,196.94,1.6654,3.51946,0.68023,1.23055,1.66305,0.51931,0.86154,0.57795,0.20032,0.52058,0.86154,0.6032,0.20946,1.59312,2.9653,0.47703,7.71023,1.95271,0.00158616,0.00158616,0.00158616
14,216.174,1.68076,2.98315,0.65969,1.27665,1.69837,0.68051,0.91757,0.84766,0.41228,0.6157,0.72308,0.62075,0.16525,1.29584,2.97646,0.46425,2.56247,1.49494,0.00169032,0.00169032,0.00169032
15,233.746,1.69224,3.09397,0.72014,1.2523,1.63826,0.68835,0.64615,0.66205,0.20322,0.45682,0.36923,0.28378,0.05458,1.72204,4.09711,0.47187,1.98472,2.02411,0.0017228,0.0017228,0.0017228
16,246.805,1.63865,2.74633,0.67086,1.21742,1.65817,0.7136,0.86154,0.86928,0.39481,0.7136,0.86154,0.85896,0.34744,1.34625,2.27272,0.50753,5.36622,1.52356,0.001703,0.001703,0.001703
17,259.371,1.53646,2.60167,0.64726,1.18809,1.54839,0.66333,0.89231,0.76049,0.29641,0.58206,0.81538,0.5934,0.24022,1.58352,2.03263,0.5165,10.2799,1.72147,0.0016832,0.0016832,0.0016832
18,272.05,1.74798,2.68901,0.65939,1.27164,1.68822,0.828,0.81466,0.87347,0.5104,0.828,0.81466,0.86243,0.23852,1.15899,1.8001,0.518,6.48835,1.35786,0.0016634,0.0016634,0.0016634
19,284.403,1.59642,2.3726,0.63633,1.198,1.5627,0.82164,0.92308,0.8957,0.49743,0.80795,0.90769,0.87468,0.44356,1.16124,1.50533,0.47961,4.78908,1.41633,0.0016436,0.0016436,0.0016436
