epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.993,2.91178,7.55795,0.71152,3.74547,2.84816,0.19405,0.63971,0.34794,0.12772,0,0,0,0,1.51477,5.63723,0.43496,382.386,1.75947,0.0003,0.0003,0.0003
2,207.268,2.08849,4.83849,0.74945,2.07059,1.80775,0.2147,0.57353,0.30107,0.07264,0.14313,0.38235,0.10752,0.01554,1.95296,4.02553,0.47216,169.394,2.46683,0.000617954,0.000617954,0.000617954
3,300.475,2.04344,3.55365,0.6846,1.96262,1.70472,0.36735,0.13235,0.14665,0.02816,0.0709,0.26471,0.03481,0.00751,2.38981,5.28863,0.42052,260.124,2.89241,0.000933796,0.000933796,0.000933796
4,393.441,2.01783,2.58341,0.62244,1.99416,1.84352,0.28558,0.36029,0.22235,0.05935,0.25253,0.50735,0.17759,0.06078,1.7756,3.28526,0.32286,57.616,1.62319,0.00124753,0.00124753,0.00124753
5,491.073,1.95852,2.22603,0.60992,1.97549,1.74628,0.37473,0.55147,0.33855,0.09922,0.45839,0.55147,0.42165,0.16,1.69107,2.47744,0.25355,36.6284,1.6564,0.00155914,0.00155914,0.00155914
6,586.502,1.88456,1.92116,0.59391,1.77413,1.65359,0.34914,0.52854,0.34096,0.13781,0.33418,0.47794,0.31017,0.15664,1.33809,2.13512,0.24461,194.167,1.23316,0.00186865,0.00186865,0.00186865
7,680,1.88742,1.63054,0.5947,1.8243,1.61236,0.02687,0.63235,0.02441,0.01022,0.02741,0.69118,0.02428,0.01403,1.27665,2.30142,0.19163,1888.94,1.22913,0.0019604,0.0019604,0.0019604
8,777.17,1.82792,1.57644,0.59844,1.79646,1.62851,0.00666,0.30882,0.00375,0.00056,0.01294,0.57353,0.0111,0.00343,2.4246,2.65165,0.1979,621.293,2.78135,0.0019538,0.0019538,0.0019538
9,865.055,1.84277,1.36406,0.58545,1.77723,1.52054,0.00726,0.55147,0.00608,0.00266,0.00765,0.77206,0.00717,0.00358,1.40191,2.2629,0.23386,2576.4,1.20924,0.0019472,0.0019472,0.0019472
10,951.977,1.76483,1.13945,0.5905,1.69101,1.50761,0.37642,0.40441,0.27688,0.10185,0.41045,0.45588,0.3415,0.15386,1.39136,1.73429,0.18096,293.506,1.15885,0.0019406,0.0019406,0.0019406
